Heb Sort	Greek Sort	MSB Sort	Verse	Language	MT Greek	MT Greek	Translit	Parsing	Parsing	Str Heb	Str Grk	VerseId	Hdg	Crossref	Par	Space	begQ	 MSB version 	pnc	endQ	footnotes	End text
0	1	1	23146	Greek	1	Βίβλος	biblov	N-NSF	N-NSF		976	Matthew 1:1	<p class=|hdg|>The Genealogy of Jesus	<br /><span class=|cross|>(<a href =|../ruth/4.htm#18|>Ruth 4:18–22</a>; <a href =|../luke/3.htm#23|>Luke 3:23–38</a>)</span>	<p class=|reg|>			 [This is the] record 				
0	2	2	23146	Greek	2	γενέσεως	genesewv	N-GSF	N-GSF		1078							 of [the] genealogy 				
0	3	3	23146	Greek	3	Ἰησοῦ	ihsou	N-GSM	N-GSM		2424							 of Jesus 				
0	4	4	23146	Greek	4	χριστοῦ	cristou	N-GSM	N-GSM		5547							 Christ 	,			
0	5	5	23146	Greek	5	υἱοῦ	uiou	N-GSM	N-GSM		5207							 [the] son 				
0	6	6	23146	Greek	6	Δαυίδ	dauid	N-PRI	N-PRI		1138							 of David 	,			
0	7	7	23146	Greek	7	υἱοῦ	uiou	N-GSM	N-GSM		5207							 [the] son 				
0	8	8	23146	Greek	8	Ἀβραάμ	abraam	N-PRI	N-PRI		11							 of Abraham 	:			
0	9	9	23146	Greek														 				
0	10	10	23146	Greek														 				
0	11	11	23146	Greek														 				
0	12	12	23146	Greek														 				
0	13	13	23146	Greek														 				
0	14	14	23146	Greek														 				
0	15	15	23146	Greek														 				
0	16	16	23146	Greek														 				
0	17	17	23146	Greek														 				
0	18	18	23146	Greek														 				
0	19	19	23147	Greek	9	Ἀβραὰμ	abraam	N-PRI	N-PRI		11	Matthew 1:2			<p class=|indent1stline|>			 Abraham 				
0	20	20	23147	Greek	10	ἐγέννησεν	egennhsen	V-AAI-3S	V-AAI-3S		1080							 was the father of 				
0	21	21	23147	Greek	11	τὸν	ton	T-ASM	T-ASM		3588							 - 				
0	22	22	23147	Greek	12	Ἰσαάκ	isaak	N-PRI	N-PRI		2464							 Isaac 	,			
0	24	23	23147	Greek	14	δὲ	de	CONJ	CONJ		1161				<p class=|indent1|>			 - 				
0	23	24	23147	Greek	13	Ἰσαὰκ	isaak	N-PRI	N-PRI		2464							 Isaac 				
0	25	25	23147	Greek	15	ἐγέννησεν	egennhsen	V-AAI-3S	V-AAI-3S		1080							 the father of 				
0	26	26	23147	Greek	16	τὸν	ton	T-ASM	T-ASM		3588							 - 				
0	27	27	23147	Greek	17	Ἰακώβ	iakwb	N-PRI	N-PRI		2384							 Jacob 	,			
0	29	28	23147	Greek	19	δὲ	de	CONJ	CONJ		1161				<p class=|indent1|>			 and 				
0	28	29	23147	Greek	18	Ἰακὼβ	iakwb	N-PRI	N-PRI		2384							 Jacob 				
0	30	30	23147	Greek	20	ἐγέννησεν	egennhsen	V-AAI-3S	V-AAI-3S		1080							 the father of 				
0	31	31	23147	Greek	21	τὸν	ton	T-ASM	T-ASM		3588							 - 				
0	32	32	23147	Greek	22	Ἰούδαν	ioudan	N-ASM	N-ASM		2455							 Judah 				
0	33	33	23147	Greek	23	καὶ	kai	CONJ	CONJ		2532							 and 				
0	34	34	23147	Greek	24	τοὺς	touv	T-APM	T-APM		3588							 - 				
0	36	35	23147	Greek	26	αὐτοῦ	autou	P-GSM	P-GSM		846							 his 				
0	35	36	23147	Greek	25	ἀδελφοὺς	adelfouv	N-APM	N-APM		80							 brothers 	.			
0	37	37	23147	Greek														 				
0	38	38	23147	Greek														 				
0	39	39	23147	Greek														 				
0	40	40	23147	Greek														 				
0	41	41	23147	Greek														 				
0	42	42	23147	Greek														 				
0	43	43	23147	Greek														 				
0	44	44	23147	Greek														 				
0	45	45	23147	Greek														 				
0	46	46	23147	Greek														 				
0	48	47	23148	Greek	28	δὲ	de	CONJ	CONJ		1161	Matthew 1:3			<p class=|indent1stline|>			 - 				
0	47	48	23148	Greek	27	Ἰούδας	ioudav	N-NSM	N-NSM		2455							 Judah 				
0	49	49	23148	Greek	29	ἐγέννησεν	egennhsen	V-AAI-3S	V-AAI-3S		1080							 was the father of 				
0	50	50	23148	Greek	30	τὸν	ton	T-ASM	T-ASM		3588							 - 				
0	51	51	23148	Greek	31	Φαρὲς	farev	N-PRI	N-PRI		5329							 Perez 				
0	52	52	23148	Greek	32	καὶ	kai	CONJ	CONJ		2532							 and 				
0	53	53	23148	Greek	33	τὸν	ton	T-ASM	T-ASM		3588							 - 				
0	54	54	23148	Greek	34	Ζαρὰ	zara	N-PRI	N-PRI		2196							 Zerah 				
0	55	55	23148	Greek	35	ἐκ	ek	PREP	PREP		1537							 by 				
0	56	56	23148	Greek	36	τῆς	thv	T-GSF	T-GSF		3588							 - 				
0	57	57	23148	Greek	37	Θάμαρ	qamar	N-PRI	N-PRI		2283							 Tamar 	,			
0	58	58	23148	Greek	38	Φαρὲς	farev	N-PRI	N-PRI		5329				<p class=|indent1|>			 Perez 				
0	59	59	23148	Greek	39	δὲ	de	CONJ	CONJ		1161							 - 				
0	60	60	23148	Greek	40	ἐγέννησεν	egennhsen	V-AAI-3S	V-AAI-3S		1080							 the father of 				
0	61	61	23148	Greek	41	τὸν	ton	T-ASM	T-ASM		3588							 - 				
0	62	62	23148	Greek	42	Ἑσρώμ	esrwm	N-PRI	N-PRI		2074							 Hezron 	,			
0	64	63	23148	Greek	44	δὲ	de	CONJ	CONJ		1161				<p class=|indent1|>			 and 				
0	63	64	23148	Greek	43	Ἑσρὼμ	esrwm	N-PRI	N-PRI		2074							 Hezron 				
0	65	65	23148	Greek	45	ἐγέννησεν	egennhsen	V-AAI-3S	V-AAI-3S		1080							 the father of 				
0	66	66	23148	Greek	46	τὸν	ton	T-ASM	T-ASM		3588							 - 				
0	67	67	23148	Greek	47	Ἀράμ	aram	N-PRI	N-PRI		689							 Ram 	.		Greek <i>Aram</i>, a variant of <i>Ram</i>; also in verse 4; see 1 Chronicles 2:9–10.	
0	68	68	23148	Greek														 				
0	69	69	23148	Greek														 				
0	70	70	23148	Greek														 				
0	71	71	23148	Greek														 				
0	72	72	23148	Greek														 				
0	73	73	23148	Greek														 				
0	74	74	23148	Greek														 				
0	75	75	23148	Greek														 				
0	76	76	23148	Greek														 				
0	77	77	23148	Greek														 				
